Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Label,Predicted True Label
2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100,176.29,-0.0016298117727696,173.58285714285714,168.3926,-,
2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200,177.31,0.0057873530950114,174.06857142857143,168.433,+,
2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500,178.44,0.0063444741562888,174.66285714285715,168.49,+,
2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400,179.14,0.0039292875325203,175.40214285714288,168.6054,+,
2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700,179.4,0.0014189728915616,175.87714285714287,168.80920000000003,+,
2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900,179.3,-0.0005375593664999,176.28928571428574,169.048,-,
2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500,178.12,-0.0065994520583385,176.56857142857143,169.26,-,
2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900,178.04,-0.0004429890788757,176.8014285714286,169.4434,-,
2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200,178.14,0.0005908567362682,177.03142857142856,169.713,+,
2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900,179.79,0.0092500045183185,177.51571428571427,169.9614,+,
2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300,180.58,0.0043877933456271,177.99571428571426,170.2976,+,
2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100,180.14,-0.0024270794569182,178.43428571428572,170.62060000000002,-,
2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500,181.37,0.0068121533179197,178.76,171.0102,+,
2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000,180.78,-0.0032379874049381,179.06,171.3698,-,
2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200,178.97,-0.0099876768290624,179.25142857142856,171.6264,-,
2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800,180.93,0.0109208842494035,179.51,171.97259999999997,+,
2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000,178.76,-0.0119657286391815,179.53285714285715,172.2306,-,
2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600,179.25,0.0026966026664545,179.5407142857143,172.53459999999998,+,
2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500,178.83,-0.002347222806292,179.5,172.813,-,
2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600,180.49,0.0093128538493234,179.58499999999998,173.0442,+,
2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400,182.31,0.0101009896063311,179.8842857142857,173.313,+,
2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900,182.32,4.795731949225335e-05,180.19,173.64300000000003,+,
2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600,182.12,-0.0011056435693365,180.4742857142857,173.94899999999998,-,
2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000,183.4,0.0070267771249532,180.7321428571429,174.27539999999996,+,
2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100,183.98,0.0031542460601459,180.975,174.6772,+,
2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300,184.15,0.0009529523525482,181.26142857142852,175.1264,+,
2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000,183.16,-0.0053785162281845,181.3892857142857,175.55560000000003,-,
2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700,183.16,0.0,181.55928571428572,175.9876,+,
2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500,182.85,-0.0017229480822976,181.83642857142857,176.4554,-,
2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200,183.12,0.0014862521261083,181.9928571428572,176.863,+,
2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400,183.5,0.0020583332750048,182.33142857142855,177.2232,+,
2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200,181.83,-0.0090759154123086,182.51571428571427,177.49599999999998,-,
2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100,180.85,-0.0053988870921316,182.66,177.763,-,
2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000,182.29,0.0079485705347044,182.78857142857143,178.0602,+,
2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100,180.7,-0.0087032062038427,182.67357142857145,178.27719999999997,-,
2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800,179.69,-0.0055785003584568,182.4857142857143,178.5168,-,
2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200,179.66,-0.0001946270866048,182.31,178.7406,-,
2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000,180.32,0.0036590560192626,182.09,178.9368,+,
2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900,180.46,0.0008262562645144,181.83857142857144,179.1436,+,
2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200,182.71,0.0124337517769841,181.7357142857143,179.422,+,
2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000,181.0,-0.0093545384347752,181.5814285714286,179.58700000000002,-,
2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300,181.05,0.0002904241060268,181.43071428571423,179.7374,+,
2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600,179.47,-0.0087141546249399,181.1892857142857,179.84260000000003,-,
2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800,181.24,0.0098651497605299,181.055,179.9718,+,
2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900,179.55,-0.0093333540999381,180.7728571428572,180.06439999999998,-,
2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100,179.61,0.0002927633572114,180.61428571428573,180.1964,+,
2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500,178.98,-0.0034650657552001,180.48071428571424,180.2988,-,
2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400,180.11,0.0063173058938048,180.325,180.421,+,
2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600,179.87,-0.0013626802501502,180.2657142857143,180.4822,-,
2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800,182.2,0.0129625755586808,180.445,180.5946,+,
2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400,183.44,0.0067828752165186,180.715,180.7376,+,
2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700,183.49,0.0002867326625934,180.94142857142856,180.8612,+,
2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200,184.28,0.0042993412610856,181.2142857142857,180.97800000000004,+,
2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400,183.93,-0.0019027394513015,181.30142857142852,181.0738,-,
2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200,184.3,0.0020490601360447,181.53714285714287,181.1718,+,
2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700,184.86,0.00304408206371,181.80928571428572,181.283,+,
2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100,184.31,-0.0029875481272171,182.155,181.4068,-,
2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000,185.25,0.0050887935193135,182.4414285714286,181.551,+,
2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800,185.54,0.0015613778574776,182.86928571428567,181.699,+,
2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900,186.14,0.0032594227648059,183.33571428571423,181.826,+,
2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900,185.89,-0.0013651773058249,183.82928571428573,181.9322,-,
2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200,184.13,-0.0094776980805407,184.11642857142857,182.012,-,
2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200,182.71,-0.007711755467293,184.3192857142857,182.0388,-,
2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300,182.35,-0.0019668491012256,184.33,182.0702,-,
2016-06-15,2016,6,15,Wednesday,24,2016-24,208.04,209.36,207.53,207.75,109124500,182.09,-0.0013938418748858,184.23357142857145,182.1326,-,
2016-06-16,2016,6,16,Thursday,24,2016-24,207.75,208.57,205.59,208.37,149533100,182.64,0.0029841376142283,184.17285714285717,182.1668,+,
2016-06-17,2016,6,17,Friday,24,2016-24,207.17,207.2,205.75,206.52,117055700,181.96,-0.0037241701281386,184.00714285714284,182.2308,-,
2016-06-20,2016,6,20,Monday,25,2016-25,208.82,209.61,207.75,207.85,82789600,183.13,0.0064401069300772,183.95,182.3084,+,
2016-06-21,2016,6,21,Tuesday,25,2016-25,208.3,208.92,207.78,208.44,72461700,183.65,0.002838705075882,183.90357142857144,182.4048,+,
2016-06-22,2016,6,22,Wednesday,25,2016-25,208.65,209.5,207.93,208.1,95560500,183.35,-0.0016311516735091,183.79571428571427,182.462,-,
2016-06-23,2016,6,23,Thursday,25,2016-25,209.81,210.87,209.27,210.81,102731400,185.74,0.0130221813583115,183.89785714285716,182.5306,+,
2016-06-24,2016,6,24,Friday,25,2016-25,203.63,210.85,202.72,203.24,333444400,179.07,-0.0359087783942031,183.45642857142855,182.4656,-,
2016-06-27,2016,6,27,Monday,26,2016-26,201.59,201.6,198.65,199.6,230775800,175.86,-0.0179100672315609,182.765,182.3404,-,
2016-06-28,2016,6,28,Tuesday,26,2016-26,201.48,203.23,201.12,203.2,159382400,179.03,0.0180362576743593,182.25714285714284,182.25300000000004,+,
2016-06-29,2016,6,29,Wednesday,26,2016-26,204.84,206.93,204.72,206.66,137328600,182.08,0.0170275530739911,181.985,182.215,+,
2016-06-30,2016,6,30,Thursday,26,2016-26,207.21,209.54,206.56,209.48,165021900,184.57,0.0136457338446263,182.01642857142855,182.2234,+,
2016-07-01,2016,7,1,Friday,26,2016-26,209.48,210.49,209.29,209.92,106055300,184.95,0.0021003297033992,182.17642857142852,182.2592,+,
2016-07-05,2016,7,5,Tuesday,27,2016-27,208.95,209.08,207.71,208.41,109803700,183.62,-0.0071933092019098,182.2671428571429,182.2684,-,
2016-07-06,2016,7,6,Wednesday,27,2016-27,207.83,209.8,207.06,209.66,96021500,184.72,0.005997955448318,182.455,182.3058,+,
2016-07-07,2016,7,7,Thursday,27,2016-27,209.87,210.65,208.63,209.53,85593800,184.61,-0.0006201825474452,182.5957142857143,182.3356,-,
2016-07-08,2016,7,8,Friday,27,2016-27,211.05,212.94,210.78,212.65,133971000,187.36,0.0148903117342866,182.98142857142855,182.41280000000003,+,
2016-07-11,2016,7,11,Monday,28,2016-28,213.19,214.07,212.95,213.4,73633900,188.02,0.0035271485542063,183.3307142857143,182.5366,+,
2016-07-12,2016,7,12,Tuesday,28,2016-28,214.53,215.3,213.43,214.95,101275600,189.39,0.0072631488907786,183.7407142857143,182.7074,+,
2016-07-13,2016,7,13,Wednesday,28,2016-28,215.44,215.45,214.35,214.92,87324100,189.36,-0.0001395472915055,184.17,182.8488,-,
2016-07-14,2016,7,14,Thursday,28,2016-28,216.4,216.67,215.66,216.12,91230900,190.42,0.0055834765195432,184.5042857142857,183.0432,+,
2016-07-15,2016,7,15,Friday,28,2016-28,216.78,217.01,215.31,215.83,107155400,190.16,-0.0013416009028199,185.29642857142855,183.2526,-,
2016-07-18,2016,7,18,Monday,29,2016-29,215.97,216.6,215.67,216.41,58725900,190.67,0.0026872076350752,186.3542857142857,183.4728,+,
2016-07-19,2016,7,19,Tuesday,29,2016-29,215.92,216.23,215.63,216.19,54345700,190.48,-0.0010165760393755,187.1721428571429,183.676,-,
2016-07-20,2016,7,20,Wednesday,29,2016-29,216.19,217.37,216.19,217.09,58159500,191.27,0.0041627263598613,187.82857142857145,183.8922,+,
2016-07-21,2016,7,21,Thursday,29,2016-29,216.96,217.22,215.75,216.27,67777300,190.55,-0.0037770652380202,188.25571428571428,184.049,-,
2016-07-22,2016,7,22,Friday,29,2016-29,216.41,217.3,216.1,217.24,62787500,191.4,0.004485343795612,188.7164285714286,184.257,+,
2016-07-25,2016,7,25,Monday,30,2016-30,217.0,217.06,215.97,216.65,55873100,190.88,-0.002716004207658,189.235,184.4536,-,
2016-07-26,2016,7,26,Tuesday,30,2016-30,216.53,217.17,215.76,216.75,70080500,190.97,0.0004614009931152,189.68142857142857,184.6836,+,
2016-07-27,2016,7,27,Wednesday,30,2016-30,217.19,217.27,215.62,216.52,84083900,190.77,-0.0010608447222795,190.12142857142857,184.87420000000003,-,
2016-07-28,2016,7,28,Thursday,30,2016-30,216.29,217.11,215.75,216.77,65035700,190.99,0.0011546748373749,190.38071428571428,185.10300000000004,+,
2016-07-29,2016,7,29,Friday,30,2016-30,216.46,217.54,216.13,217.12,79519400,191.3,0.001614488597075,190.615,185.3368,+,
2016-08-01,2016,8,1,Monday,31,2016-31,217.19,217.65,216.41,216.94,73311400,191.14,-0.0008290748923275,190.74,185.58,-,
2016-08-02,2016,8,2,Tuesday,31,2016-31,216.65,216.83,214.57,215.55,92295500,189.91,-0.0064072315339251,190.7792857142857,185.776,-,
2016-08-03,2016,8,3,Wednesday,31,2016-31,215.48,216.25,215.13,216.18,53993600,190.47,0.0029227368875555,190.78285714285715,185.988,+,
2016-08-04,2016,8,4,Thursday,31,2016-31,216.31,216.78,214.25,216.41,46585500,190.67,0.0010638819449941,190.8192857142857,186.1574,+,
2016-08-05,2016,8,5,Friday,31,2016-31,216.41,218.23,216.41,218.18,71892200,192.23,0.0081789436316068,190.93071428571423,186.3332,+,
2016-08-08,2016,8,8,Monday,32,2016-32,218.4,218.52,217.74,218.05,39906500,192.12,-0.0005958848779309,191.04785714285717,186.5058,-,
2016-08-09,2016,8,9,Tuesday,32,2016-32,218.13,218.76,217.8,218.18,51251700,192.23,0.0005962401684309,191.11642857142851,186.6648,+,
2016-08-10,2016,8,10,Wednesday,32,2016-32,218.31,218.4,217.23,217.64,57941100,191.76,-0.0024749820825743,191.20285714285717,186.8214,-,
2016-08-11,2016,8,11,Thursday,32,2016-32,218.26,218.94,217.95,218.65,72504300,192.65,0.0046406068135707,191.2921428571429,186.9884,+,
2016-08-12,2016,8,12,Friday,32,2016-32,218.29,218.71,217.99,218.46,61313500,192.48,-0.000868817300371,191.40642857142856,187.1408,-,
2016-08-15,2016,8,15,Monday,33,2016-33,218.89,219.5,218.88,219.09,49813500,193.03,0.0028835665089612,191.55357142857144,187.3152,+,
2016-08-16,2016,8,16,Tuesday,33,2016-33,218.6,218.68,217.96,217.96,53213600,192.04,-0.0051574571795487,191.6442857142857,187.451,-,
2016-08-17,2016,8,17,Wednesday,33,2016-33,218.0,218.53,217.02,218.37,75134300,192.4,0.0018809142584537,191.745,187.5882,+,
2016-08-18,2016,8,18,Thursday,33,2016-33,218.34,218.9,218.21,218.86,52989300,192.83,0.0022438661274875,191.8542857142857,187.722,+,
2016-08-19,2016,8,19,Friday,33,2016-33,218.31,218.75,217.74,218.54,75443000,192.55,-0.0014620963567157,191.955,187.8552,-,
2016-08-22,2016,8,22,Monday,34,2016-34,218.26,218.8,217.83,218.53,61368800,192.54,-4.556672605138257e-05,192.14285714285717,188.0234,-,
2016-08-23,2016,8,23,Tuesday,34,2016-34,219.25,219.6,218.9,218.97,53399200,192.93,0.0020131108180971,192.31857142857143,188.2278,+,
2016-08-24,2016,8,24,Wednesday,34,2016-34,218.8,218.91,217.36,217.85,71728900,191.94,-0.0051147276379257,192.4092857142857,188.4196,-,
2016-08-25,2016,8,25,Thursday,34,2016-34,217.4,218.19,217.22,217.7,69224800,191.81,-0.0006885276788365,192.3792857142857,188.614,-,
2016-08-26,2016,8,26,Friday,34,2016-34,217.92,219.12,216.25,217.29,122506300,191.45,-0.001883399624227,192.3314285714286,188.7902,-,
2016-08-29,2016,8,29,Monday,35,2016-35,217.44,218.67,217.4,218.36,70502200,192.39,0.004924410674729,192.3428571428572,188.9988,+,
2016-08-30,2016,8,30,Tuesday,35,2016-35,218.26,218.59,217.35,218.0,58114500,192.07,-0.0016485751158904,192.365,189.1776,-,
2016-08-31,2016,8,31,Wednesday,35,2016-35,217.61,217.75,216.47,217.38,85269500,191.53,-0.0028439716999434,192.285,189.3352,-,
2016-09-01,2016,9,1,Thursday,35,2016-35,217.37,217.73,216.03,217.39,97844200,191.54,4.596921305566326e-05,192.21785714285716,189.499,+,
2016-09-02,2016,9,2,Friday,35,2016-35,218.39,218.87,217.7,218.37,79293900,192.4,0.0045078827601545,192.17285714285717,189.6322,+,
2016-09-06,2016,9,6,Tuesday,36,2016-36,218.7,219.12,217.86,219.03,56702100,192.98,0.0030225137661143,192.24,189.9104,+,
2016-09-07,2016,9,7,Wednesday,36,2016-36,218.84,219.22,218.3,219.01,76554900,192.96,-9.140397774931586e-05,192.28,190.2524,-,
2016-09-08,2016,9,8,Thursday,36,2016-36,218.62,218.94,218.15,218.51,74102900,192.52,-0.00228293603762,192.25785714285715,190.5222,-,
2016-09-09,2016,9,9,Friday,36,2016-36,216.97,217.03,213.25,213.28,221589100,187.91,-0.0239348485542587,191.92642857142852,190.6388,-,
2016-09-12,2016,9,12,Monday,37,2016-37,212.39,216.81,212.31,216.34,168110900,190.61,0.0143472216346436,191.78857142857143,190.7596,+,
2016-09-13,2016,9,13,Tuesday,37,2016-37,214.84,215.15,212.5,213.23,182828800,187.87,-0.0143754015125892,191.42714285714283,190.81800000000004,-,
2016-09-14,2016,9,14,Wednesday,37,2016-37,213.29,214.7,212.5,213.15,134185500,187.8,-0.0003752360454019,191.1314285714286,190.9016,-,
2016-09-15,2016,9,15,Thursday,37,2016-37,212.96,215.73,212.75,215.28,134427900,189.68,0.0099929068390909,190.9792857142857,191.00080000000003,+,
2016-09-16,2016,9,16,Friday,37,2016-37,213.48,213.69,212.57,213.37,155236400,188.94,-0.0038655355779144,190.8,191.0874,-,
2016-09-19,2016,9,19,Monday,38,2016-38,214.13,214.88,213.03,213.41,80250500,188.98,0.0001871986489394,190.55642857142857,191.1198,+,
2016-09-20,2016,9,20,Tuesday,38,2016-38,214.41,214.59,213.38,213.42,69665300,188.99,4.739647987062057e-05,190.33642857142857,191.1392,+,
2016-09-21,2016,9,21,Wednesday,38,2016-38,214.24,216.03,213.44,215.82,110284400,191.11,0.0112452709718877,190.30642857142857,191.1736,+,
2016-09-22,2016,9,22,Thursday,38,2016-38,217.0,217.53,216.71,217.18,76678700,192.32,0.0063012829556452,190.36214285714289,191.23280000000003,+,
2016-09-23,2016,9,23,Friday,38,2016-38,216.72,216.88,215.88,215.99,73630900,191.26,-0.005479196421551,190.28071428571428,191.2496,-,
